#Identifiant_A;Identifiant_R;Libellé_du_site;Adresse;Complément_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Libellé_du_type_d_automate;Nb_automtate_par_type;Type_de_distributeur_DAB;geoloc
11591A;624470;HESDIN BP;4 PLACE GARBE;;;62140;HESDIN;62447;FRANCE;LISA 2;2;;50.37535,2.0383
11600A;624890;LAPUGNOY BP;213 RUE JEAN JAURES;;;62122;LAPUGNOY;62489;FRANCE;CPT BILLET;1;;50.515759,2.540016
11606A;625100;LIEVIN;RUE SILAS GOULET;;;62800;LIEVIN;62510;FRANCE;DAB;2;Externe;50.422429,2.779499
11606A;625100;LIEVIN;RUE SILAS GOULET;;;62800;LIEVIN;62510;FRANCE;DAB;2;Interne;50.422429,2.779499
11617A;625570;MAROEUIL BP;1 RUE DU GENERAL LECLERC;;;62161;MAROEUIL;62557;FRANCE;CPT BILLET;1;;50.32281,2.705294
11621A;625700;MERICOURT BP;4 RUE MICHELET;;;62680;MERICOURT;62570;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;50.401271,2.865086
11626A;625870;MONTIGNY EN GOHELLE BP;60 RUE ROGER SALENGRO;;;62640;MONTIGNY EN GOHELLE;62587;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;50.426206,2.928765
11627A;625880;MONTREUIL BP;11 PLACE GAMBETTA;;;62170;MONTREUIL;62588;FRANCE;URNE;1;;50.464417,1.763078
11641A;626430;OUTREAU BP;7 RUE DU BIEZ;;;62230;OUTREAU;62643;FRANCE;CPT BILLET;1;;50.70659,1.593191
11641A;626430;OUTREAU BP;7 RUE DU BIEZ;;;62230;OUTREAU;62643;FRANCE;DAB;1;Externe;50.70659,1.593191
11653A;627240;ROUVROY BP;159 RUE DU GENERAL DE GAULLE;;;62320;ROUVROY;62724;FRANCE;CHANGEUR MONNAIE;1;;50.401815,2.906486
11653A;627240;ROUVROY BP;159 RUE DU GENERAL DE GAULLE;;;62320;ROUVROY;62724;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;50.401815,2.906486
11980A;639200;CLERMONT FERRAND GARE BP;44 AVENUE DE L UNION SOVIETIQUE;;;63000;CLERMONT FERRAND;63113;FRANCE;NBC1I NABANCO IER;1;;45.779298,3.100229
11981A;639210;CLERMONT FERRAND PLACE GAILLARD;2 PLACE GILBERT GAILLARD;;;63000;CLERMONT FERRAND;63113;FRANCE;CHANGEUR MONNAIE;1;;45.780327,3.082474
